SepalLength,SepalWidth,PetalLength,PetalWidth,Species,id,teste
5.5,2.4,3.7,1.0,versicolor,82,perola
5.8,2.7,3.9,1.2,versicolor,83,perola
6.0,2.7,5.1,1.6,versicolor,84,porco
5.4,3.0,4.5,1.5,versicolor,85,porco
6.0,3.4,4.5,1.6,versicolor,86,perola
6.7,3.1,4.7,1.5,versicolor,87,perola
6.3,2.3,4.4,1.3,versicolor,88,perola
5.6,3.0,4.1,1.3,versicolor,89,peroba
5.5,2.5,4.0,1.3,versicolor,90,porco
5.5,2.6,4.4,1.2,versicolor,91,porco
6.1,3.0,4.6,1.4,versicolor,92,perola
5.8,2.6,4.0,1.2,versicolor,93,peroba
5.0,2.3,3.3,1.0,versicolor,94,perola
5.6,2.7,4.2,1.3,versicolor,95,peroba
5.7,3.0,4.2,1.2,versicolor,96,peroba
5.7,2.9,4.2,1.3,versicolor,97,peroba
6.2,2.9,4.3,1.3,versicolor,98,perola
5.1,2.5,3.0,1.1,versicolor,99,porco
5.7,2.8,4.1,1.3,versicolor,100,porco
6.3,3.3,6.0,2.5,virginica,101,porco
5.8,2.7,5.1,1.9,virginica,102,peroba
7.1,3.0,5.9,2.1,virginica,103,porco
6.3,2.9,5.6,1.8,virginica,104,porco
6.5,3.0,5.8,2.2,virginica,105,porco
7.6,3.0,6.6,2.1,virginica,106,porco
4.9,2.5,4.5,1.7,virginica,107,perola
7.3,2.9,6.3,1.8,virginica,108,peroba
6.7,2.5,5.8,1.8,virginica,109,porco
7.2,3.6,6.1,2.5,virginica,110,perola
6.5,3.2,5.1,2.0,virginica,111,porco
6.4,2.7,5.3,1.9,virginica,112,porco
6.8,3.0,5.5,2.1,virginica,113,perola
5.7,2.5,5.0,2.0,virginica,114,perola
5.8,2.8,5.1,2.4,virginica,115,porco
6.4,3.2,5.3,2.3,virginica,116,porco
6.5,3.0,5.5,1.8,virginica,117,porco
7.7,3.8,6.7,2.2,virginica,118,peroba
7.7,2.6,6.9,2.3,virginica,119,perola
6.0,2.2,5.0,1.5,virginica,120,peroba
6.9,3.2,5.7,2.3,virginica,121,perola
5.6,2.8,4.9,2.0,virginica,122,peroba
7.7,2.8,6.7,2.0,virginica,123,peroba
6.3,2.7,4.9,1.8,virginica,124,porco
6.7,3.3,5.7,2.1,virginica,125,perola
7.2,3.2,6.0,1.8,virginica,126,porco
6.2,2.8,4.8,1.8,virginica,127,perola
6.1,3.0,4.9,1.8,virginica,128,peroba
6.4,2.8,5.6,2.1,virginica,129,peroba
7.2,3.0,5.8,1.6,virginica,130,perola
7.4,2.8,6.1,1.9,virginica,131,peroba
7.9,3.8,6.4,2.0,virginica,132,peroba
6.4,2.8,5.6,2.2,virginica,133,peroba
6.3,2.8,5.1,1.5,virginica,134,perola
6.1,2.6,5.6,1.4,virginica,135,porco
7.7,3.0,6.1,2.3,virginica,136,peroba
6.3,3.4,5.6,2.4,virginica,137,peroba
6.4,3.1,5.5,1.8,virginica,138,porco
6.0,3.0,4.8,1.8,virginica,139,perola
6.9,3.1,5.4,2.1,virginica,140,porco
6.7,3.1,5.6,2.4,virginica,141,peroba
6.9,3.1,5.1,2.3,virginica,142,perola
5.8,2.7,5.1,1.9,virginica,143,porco
6.8,3.2,5.9,2.3,virginica,144,peroba
6.7,3.3,5.7,2.5,virginica,145,porco
6.7,3.0,5.2,2.3,virginica,146,peroba
6.3,2.5,5.0,1.9,virginica,147,peroba
6.5,3.0,5.2,2.0,virginica,148,porco
6.2,3.4,5.4,2.3,virginica,149,peroba
5.9,3.0,5.1,1.8,virginica,150,porco
0.4,0.5,0.6,0.7,venosa,199,gato
0.4,0.5,0.6,0.7,venosa,199,gato
